wallet,wallet_age_days,tx_count,tx_frequency,avg_tx_value,active_days,tx_per_day_mean,tx_per_day_std,consistency_ratio,max_tx_per_hour,max_tx_per_minute,unique_counterparties,stablecoin_tx_count,total_token_tx_count,stablecoin_tx_ratio
0x21fa323f26fc0d76c244ef216f968d6e6c16b523,377,7,0.01856763925729443,3410734366795143.0,3,2.3333333333333335,2.3094010767585034,0.9897433186107871,5,2,8,0,0,0.0
0xc44b7316936e2f004e688fd53a95e060df1811c3,1217,10000,8.216926869350862,6.1582289422712685e+19,1055,9.47867298578199,6.770518055946783,0.7142896549023856,20,18,35,0,6534,0.0
0xba33833070830ede551034425096c7db4a203f27,69,7,0.10144927536231885,56707797769857.14,3,2.3333333333333335,2.3094010767585034,0.9897433186107871,5,2,8,0,0,0.0
0x137ddb47ee24eaa998a535ab00378d6bfa84f893,711,10000,14.064697609001406,42861496745480.69,710,14.084507042253522,13.870391880304192,0.9847978235015976,63,34,2819,2,3,0.6666666666666666
0xc1136dc6a30d13cd41f0ecb452393a4a183cd975,8,77,9.625,241328571428571.44,4,19.25,15.4137384606504,0.8007136862675532,27,2,72,0,0,0.0
0x977b77eff9538d24750e3379b65fe6c7bb064aa1,69,7,0.10144927536231885,51724478647000.0,3,2.3333333333333335,2.3094010767585034,0.9897433186107871,5,2,8,0,0,0.0
0xf8be2cc48733bef067eea69b3a7b87147a6909d8,257,15,0.058365758754863814,106666666666666.67,6,2.5,2.345207879911715,0.938083151964686,6,2,10,0,1,0.0
0xdeb57c31a5bc59997e222af3c8cc79df9c696640,69,7,0.10144927536231885,57939201838428.57,3,2.3333333333333335,2.3094010767585034,0.9897433186107871,5,2,8,0,0,0.0
0x7b7b0ed51582c395970e5671048de70a04a7be51,1583,116,0.07327858496525584,2.8394544243037424e+16,34,3.411764705882353,2.487759696312199,0.729170945470817,6,2,60,0,10,0.0
0x24709dd55ebaa1aefbdb16b2b10d5adc8338ba7f,257,14,0.054474708171206226,114285714285714.28,5,2.8,2.4899799195977463,0.889278542713481,6,2,10,0,1,0.0
0x9bef58f349b1566a50343300efda2206b5bf8fbc,2466,5,0.00202757502027575,2.991788423498668e+17,2,2.5,2.1213203435596424,0.8485281374238569,2,1,5,0,3,0.0
0x9c7beba8f6ef6643abd725e45a4e8387ef260649,98,10000,102.04081632653062,0.0,58,172.41379310344828,234.88728423999595,1.3623462485919764,361,98,1771,2,26,0.07692307692307693
0xfe71d4c077951a24be9c6da3ded1a28de2eb1f73,377,7,0.01856763925729443,3402110037009714.5,3,2.3333333333333335,2.3094010767585034,0.9897433186107871,5,2,8,0,0,0.0
0x6f312fe4c7de81807e6b31b6f9919808940a55ab,69,7,0.10144927536231885,57513893686000.0,3,2.3333333333333335,2.3094010767585034,0.9897433186107871,5,2,8,0,0,0.0
0x0000000000085d4780b73119b644ae5ecd22b376,19,10000,526.3157894736842,0.0,20,500.0,382.1661253544341,0.7643322507088681,274,70,1816,10,112,0.08928571428571429
0x0cec9cc29f074db90eeec52bada7d39f37a1240c,412,756,1.8349514563106797,4.91904894410582e+19,147,5.142857142857143,6.4585082462688925,1.255821047885618,30,4,25,0,41,0.0
0x66f820a414680b5bcda5eeca5dea238543f42054,2291,213,0.09297250109122654,1.606199071567174e+22,103,2.0679611650485437,2.5753816999500962,1.2453723713373706,25,8,18,10,1176,0.008503401360544218
0x1798b839d7bd9a97b6a3b782e1a6ba128c67fd1e,3,5,1.6666666666666667,39539290013223.4,2,2.5,2.1213203435596424,0.8485281374238569,3,1,6,0,0,0.0
0x6b175474e89094c44da98b954eedeac495271d0f,15,10000,666.6666666666666,0.0,16,625.0,213.894366452228,0.3422309863235648,139,47,4523,670,10000,0.067
0x416d34fcd14dee0a82e749e4e9de391ab479f42c,162,200,1.2345679012345678,1922180000000000.0,84,2.380952380952381,2.1559933941868645,0.9055172255584831,6,2,138,69,77,0.8961038961038961
0xda5e1988097297dcdc1f90d4dfe7909e847cbef6,330,10000,30.303030303030305,1028529863326490.9,291,34.36426116838488,344.73241691209677,10.031713332142017,3528,111,7146,46,3994,0.011517275913870806
0x30c9addf4f063e2229a395822f3d80bacde0dad4,167,15,0.08982035928143713,100000000000000.0,5,3.0,2.1213203435596424,0.7071067811865475,6,3,11,0,0,0.0
0xaefc626213e35a7d3a73d2fc1f3dad4f33ee1ef1,6,6,1.0,1.7270809960162016e+16,2,3.0,1.4142135623730951,0.47140452079103173,4,1,7,0,6,0.0
0x0d8775f648430679a709e98d2b0cb6250d2887ef,2,10000,5000.0,7.986462796749729e+19,3,3333.3333333333335,5607.8253658020885,1.6823476097406265,2655,238,6462,2,775,0.0025806451612903226
0x77fba179c79de5b7653f68b5039af940ada60ce0,22,10000,454.54545454545456,2068133000000.0,8,1250.0,2241.6709329044197,1.7933367463235357,1388,106,7902,5,54,0.09259259259259259
0xdc76cd25977e0a5ae17155770273ad58648900d3,2883,794,0.2754075615678113,8.996886601462254e+21,108,7.351851851851852,9.169550193123005,1.2472436030948166,22,11,87,0,10000,0.0
0x59abc82208ca435773608eb70f4035fc2ea861da,142,3416,24.056338028169016,114671157677162.16,37,92.32432432432432,153.08332045981695,1.658103880858673,95,13,2379,9,315,0.02857142857142857
0xb7ae28c62d1bf2ec18c55926484e4f05e2b9a877,135,20,0.14814814814814814,72709092797621.9,12,1.6666666666666667,1.1547005383792515,0.6928203230275508,3,2,10,32,59,0.5423728813559322
0x80a6bf955864a8d72736f4b5d452bae57b4561fb,180,10,0.05555555555555555,65797708673075.2,6,1.6666666666666667,0.5163977794943223,0.30983866769659335,2,2,7,2,2,1.0
0xedfe2ce9383f11c6fb357fb684a54e9849ad74e6,2784,688,0.2471264367816092,5.802091991499459e+16,203,3.3891625615763545,6.571863276041845,1.9390817515065328,32,5,217,7,586,0.011945392491467578
0x3ae1dd7113d11be22c199e90696a5ddc73c36ce9,69,8,0.11594202898550725,48761421403125.0,3,2.6666666666666665,2.886751345948129,1.0825317547305484,3,1,8,0,0,0.0
0x4fabb145d64652a948d72533023f6e7a623c7c53,157,10000,63.69426751592356,40000000000.0,154,64.93506493506493,44.65871678223949,0.6877442384464881,55,44,1082,13,926,0.014038876889848811
0x834f17ffb6c2503112b6f4d2f46eeda008934b2c,128,4,0.03125,5647295699689750.0,3,1.3333333333333333,0.5773502691896257,0.4330127018922193,1,1,5,0,0,0.0
0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,49,10000,204.08163265306123,0.0,29,344.82758620689657,785.1411642394322,2.2769093762943533,121,5,25,7,347,0.020172910662824207
0x1d4a84b85faee5801a0aec10feb1a21d1d3c034d,377,7,0.01856763925729443,3273824523363293.0,3,2.3333333333333335,2.3094010767585034,0.9897433186107871,5,1,8,0,0,0.0
0xb4cd0386d2db86f30c1a11c2b8c4f4185c1dade9,2474,955,0.38601455133387225,9.083861979766801e+21,146,6.541095890410959,7.4889589648327295,1.1449089098068885,21,10,40,0,595,0.0
0x860a9e76a308109fb1c50e0beef1ef41571ae2de,1182,10,0.008460236886632826,5.730018912895056e+17,6,1.6666666666666667,0.816496580927726,0.4898979485566356,3,1,5,0,2,0.0
0x1ec4de886d40d487366cde7664767db1df6a02e7,9,10000,1111.111111111111,1864374710000000.2,10,1000.0,851.8775342344305,0.8518775342344306,460,59,383,0,40,0.0
0xdc9ac3c20d1ed0b540df9b1fedc10039df13f99c,38,10000,263.1578947368421,0.0,39,256.4102564102564,312.45039336363527,1.2185565341181777,372,122,3398,1,55,0.01818181818181818
0x9be89d2a4cd102d8fecc6bf9da793be995c22541,168,10000,59.523809523809526,0.0,165,60.60606060606061,35.661295711535395,0.588411379240334,45,39,2437,3,71,0.04225352112676056
0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,5,10000,2000.0,1.0347741736511643e+17,5,2000.0,1273.9126736162098,0.6369563368081049,345,43,7042,12,272,0.04411764705882353
0x8d331934994270058150066a0cc48e58e5a094a5,69,7,0.10144927536231885,49372934377428.57,4,1.75,0.9574271077563381,0.5471012044321932,3,3,8,0,0,0.0
0x6c5ba91642f10282b576d91922ae6448c9d52f4e,173,10000,57.80346820809248,63922192732949.96,84,119.04761904761905,320.7281964816301,2.6941168504456927,649,111,4186,7,3142,0.0022278803309993636
0xf977814e90da44bfa03b6295a0616a897441acec,1311,10000,7.627765064836003,2.892415382428627e+21,1257,7.955449482895784,7.950859484197539,0.9994230371636307,67,11,433,447,10000,0.0447
0x40b581444ff954dc78d1acdc95ea89bb0fc606c6,317,30,0.0946372239747634,1.1094302426666667e+17,14,2.142857142857143,1.4064216928154862,0.6563301233138936,5,2,8,0,1,0.0
0x7812d0936a6b2df877506a6101281759e05d0d61,28,26,0.9285714285714286,3.0769230769232044e+16,19,1.368421052631579,0.5972647203701474,0.43646268027049234,2,1,4,0,4,0.0
0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,1,10000,10000.0,2.190891115953592e+18,2,5000.0,544.4722215136416,0.10889444430272831,3105,201,3863,19,10000,0.0019
0x8a308e9e2e361dcc6ec7b2ca25c7c257b49a378b,12,33,2.75,549438283193912.0,9,3.6666666666666665,3.0000000000000004,0.8181818181818183,6,2,14,0,9,0.0
0x1ee8a7e8007fdd84fa050478be987cb8391cb963,813,18,0.02214022140221402,8571384635212327.0,8,2.25,2.5495097567963922,1.1331154474650633,4,1,13,7,11,0.6363636363636364
0xff0a024b66739357c4ed231fb3dbc0c8c22749f5,1932,1452,0.7515527950310559,0.0,594,2.4444444444444446,2.8647613836535544,1.171947838767363,30,24,433,1,2,0.5
